PDHB,MTF1,LIPT1,LIAS,FDX1,DLD,DLAT,CDKN2A,cluster
8.517304876,8.551010054,5.40903541,6.325719029,7.101011178,8.251206683,7.506944396,6.957745296,0
8.439151092,8.912468796,5.127075529,6.846745712,7.41947463,8.773932462,6.546785186,5.724059755,0
7.983957626,8.624038217,5.801273262,6.90671839,7.471559529,9.120244861,7.661014767,5.918199787,0
7.998538754,8.649350308,5.339270033,6.613620231,7.205766007,8.666729435,7.304778526,6.516422909,0
7.433101071,8.368637455,5.75752806,6.12076649,7.444288907,9.221831736,7.636025935,6.062432824,0
8.094565043,9.116041243,5.068461337,7.038473639,7.097692059,8.366922252,6.587399043,6.064629004,0
8.125684729,9.004028831,4.416518626,6.547213975,7.165315427,8.579921038,6.64894149,6.367106648,0
8.197746443,8.760494894,5.120225945,6.353720166,7.691603041,9.492799237,7.353870855,6.082940519,0
8.546721438,8.620520841,5.593002674,6.596100484,7.368898601,9.052604043,7.685217706,6.785121143,0
7.908513682,8.54302102,5.410718555,6.161813719,7.697671942,9.354509583,7.726761603,6.30320324,0
8.073257013,8.355573985,6.550972984,6.365631573,7.225208381,8.686335072,7.739697842,5.777803358,0
8.179033257,8.588833324,6.241334892,5.991743338,7.533751091,8.612647412,7.392637021,5.647190879,0
7.681893428,8.425438084,5.25081159,6.23834632,7.801400812,9.789574436,7.55981992,6.362183714,0
7.980756036,8.053468896,5.583952744,6.187259086,7.426107924,8.96910548,7.399799612,6.107237504,0
8.065139863,9.011499044,5.735473574,5.793655932,7.92575447,9.388873289,7.848308086,5.999517282,0
7.969501444,8.751275854,5.890055582,6.194883905,7.470082387,9.159007122,7.800719687,5.852509627,0
7.985624486,8.720770644,6.068240308,6.468290022,7.810395671,8.183212875,7.161248602,5.214483448,0
8.39898171,7.471671598,5.843198278,6.52009728,7.294853076,9.107596428,7.222052887,6.383658056,0
8.110708265,8.968535544,6.206976629,6.672582871,8.066205533,8.714023492,7.175499259,6.462922268,0
8.017604937,7.938909601,5.265735396,6.280436615,7.844198278,8.742650505,7.235175274,6.36820775,0
8.21799023,8.443779596,5.757491817,6.268973586,7.666197299,9.181423535,7.801018244,6.265180343,0
8.150485307,7.569718848,6.189316459,6.357173857,7.163667925,8.981753598,7.395799,5.99804312,0
8.246941156,7.492959901,5.793117655,6.044763469,7.505410743,9.031828129,7.453099905,6.362104866,0
7.494864358,8.088117905,5.866430273,6.140992508,7.284457727,8.804291522,7.332465835,5.983043836,0
